district,month,year,domestic_visitors,foreign_visitors,total_visitors,source
Nellore,February,2010,83159,88,83247,AP Tourism Survey 2009-2010
Nellore,March,2010,66891,24,66914,AP Tourism Survey 2009-2010
Nellore,April,2010,71268,4,71272,AP Tourism Survey 2009-2010
Nellore,May,2010,66249,2,66250,AP Tourism Survey 2009-2010
Nellore,June,2010,65372,0,65372,AP Tourism Survey 2009-2010
Kadapa,July,2009,31406,0,31406,AP Tourism Survey 2009-2010
Kadapa,August,2009,52669,0,52669,AP Tourism Survey 2009-2010
Kadapa,September,2009,61050,11,61062,AP Tourism Survey 2009-2010
Kadapa,October,2009,155936,40,155976,AP Tourism Survey 2009-2010
Kadapa,November,2009,157388,32,157420,AP Tourism Survey 2009-2010
Kadapa,December,2009,145590,0,145590,AP Tourism Survey 2009-2010
Kadapa,January,2010,151855,0,151855,AP Tourism Survey 2009-2010
Kadapa,February,2010,46825,29,46855,AP Tourism Survey 2009-2010
Kadapa,March,2010,41767,16,41783,AP Tourism Survey 2009-2010
Kadapa,April,2010,30103,3,30106,AP Tourism Survey 2009-2010
Kadapa,May,2010,28921,0,28921,AP Tourism Survey 2009-2010
Kadapa,June,2010,31171,0,31171,AP Tourism Survey 2009-2010
Kurnool,July,2009,11046,9,11055,AP Tourism Survey 2009-2010
Kurnool,August,2009,70364,0,70364,AP Tourism Survey 2009-2010
Kurnool,September,2009,73230,23,73253,AP Tourism Survey 2009-2010
Kurnool,October,2009,73718,10,73728,AP Tourism Survey 2009-2010
Kurnool,November,2009,70851,12,70863,AP Tourism Survey 2009-2010
Kurnool,December,2009,88334,164,88498,AP Tourism Survey 2009-2010
Kurnool,January,2010,94275,153,94428,AP Tourism Survey 2009-2010
Kurnool,February,2010,53458,22,53480,AP Tourism Survey 2009-2010
Kurnool,March,2010,61303,14,61317,AP Tourism Survey 2009-2010
Kurnool,April,2010,51888,5,51893,AP Tourism Survey 2009-2010
Kurnool,May,2010,58341,1,58342,AP Tourism Survey 2009-2010
Kurnool,June,2010,61170,0,61170,AP Tourism Survey 2009-2010
Anantapur,July,2009,110146,0,110146,AP Tourism Survey 2009-2010
Anantapur,August,2009,70364,0,70364,AP Tourism Survey 2009-2010
Anantapur,September,2009,73230,170,73400,AP Tourism Survey 2009-2010
Anantapur,October,2009,73708,650,74358,AP Tourism Survey 2009-2010
Anantapur,November,2009,70839,705,71544,AP Tourism Survey 2009-2010
Anantapur,December,2009,88170,734,88904,AP Tourism Survey 2009-2010
Anantapur,January,2010,94122,624,94746,AP Tourism Survey 2009-2010
Anantapur,February,2010,53436,367,53803,AP Tourism Survey 2009-2010
Anantapur,March,2010,61290,459,61749,AP Tourism Survey 2009-2010
Anantapur,April,2010,51883,587,52470,AP Tourism Survey 2009-2010
Anantapur,May,2010,58340,821,59161,AP Tourism Survey 2009-2010
Anantapur,June,2010,61170,895,62065,AP Tourism Survey 2009-2010
Chittoor,July,2009,2840253,3097,2843350,AP Tourism Survey 2009-2010
Chittoor,August,2009,3403011,2675,3405687,AP Tourism Survey 2009-2010
Chittoor,September,2009,3242226,1292,3243518,AP Tourism Survey 2009-2010
Chittoor,October,2009,4532248,2525,4534773,AP Tourism Survey 2009-2010
Chittoor,November,2009,3631183,5200,3636383,AP Tourism Survey 2009-2010
Chittoor,December,2009,3242283,4488,3246771,AP Tourism Survey 2009-2010
Chittoor,January,2010,2838547,3381,2841928,AP Tourism Survey 2009-2010
Chittoor,February,2010,2686497,2385,2688882,AP Tourism Survey 2009-2010
Chittoor,March,2010,2653170,1590,2654760,AP Tourism Survey 2009-2010
Chittoor,April,2010,3069840,142,3069983,AP Tourism Survey 2009-2010
Chittoor,May,2010,3069615,91,3069706,AP Tourism Survey 2009-2010
Chittoor,June,2010,2906023,78,2906701,AP Tourism Survey 2009-2010
